2010-780888	8771570	Nanotron	US
2004-005547	7294202	National Chiao Tung University 	TW
2006-377176	7846557	National Chiao Tung University 	TW
2005-210735		National Inst of Adv Industrial Science and Tech	JP
2012-615548	8759814	National Taiwan University	TW
2006-640226	8106378	NEC	JP
2004-482966		NEC	JP
2008-031082	8044414	NGK Insulators l COMMISSARIAT A L'ENERGIE ATOMIQUE	JP | FR
2005-095450	7172956	NGK Insulators l COMMISSARIAT A L'ENERGIE ATOMIQUE	JP | FR
2004-813565	6943366	NGK Insulators l COMMISSARIAT A L'ENERGIE ATOMIQUE	JP | FR
2004-801038	7166869	Nichia	JP
2006-635613	8304790	Nichia	JP
2009-123895	8721922	Nitto Denko	JP
2005-065085	7265375	North Carolina State University	US
2004-760966	6914256	North Carolina State University	US
2009-560371	8133768	NthDegree Technologies l NASA	US
2009-920796	8288754	NXP l ST MicroElectronics	NL | FR
2010-696378		Ocean's King Lighting	CN
2010-634605		Ocean's King Lighting	CN
2009-491707	8272758	Oree	IL
2012-593976	8579466	Oree	IL
2008-527655	8174034	Osram	DE
2011-073153	8455898	Osram Sylvania	US
2011-170365		Osram Sylvania	US
2012-713669		Pacific Light Technologies	US
2013-903890		Pacific Light Technologies	US
2013-055727		Pacific Light Technologies	US
2012-589823		Pacific Light Technologies	US
2007-878691	7419849	Panasonic	JP
2013-037443		Panasonic	JP
2013-038620		Panasonic	JP
2004-581133		PHILIPS ELECTRONICS	NL
2004-548244		PHILIPS ELECTRONICS	NL
2009-464327		PHILIPS ELECTRONICS	NL
2011-176251		Philips Lumileds Lighting	US
2004-877698	7264527	Philips Lumileds Lighting	US
2013-743983	2013-08-15	Philips Lumileds Lighting l Massachusetts Institute of Technology	US
2007-787152	7692373	Philips Lumileds Lighting l Massachusetts Institute of Technology	US
2010-700709		Philips Lumileds Lighting l Massachusetts Institute of Technology	US
2010-700711	8053972	Philips Lumileds Lighting l Massachusetts Institute of Technology	US
2011-208169	8174181	Philips Lumileds Lighting l Massachusetts Institute of Technology	US
2005-201406	7750352	Pinion Technologies	US
2004-811628	7816006	PPG Industries	US
2007-955344	8013506	Prysm	US
2010-796576		Prysm	US
2006-337170	7733310	Prysm	US
2006-335813	7791561	Prysm	US
2010-877069	8698713	Prysm	US
2010-503112		QD Solution	KR
2012-367149		QD Vision	US
2007-846360	8128249	QD Vision	US
2013-081755		QD Vision	US
2013-762354		QD Vision	US
2009-454706	8354785	QD Vision	US
2013-041618		QD Vision	US
2013-768714	8691114	QD Vision	US
2009-454703	8377333	QD Vision	US
2009-454701	8404154	QD Vision	US
2008-287143	8470617	QD Vision	US
2010-727941		QD Vision	US
2008-283609	8718437	QD Vision	US
2012-468199		QD Vision	US
2013-042074		QD Vision	US
2012-441394		QD Vision	US
2012-422683		QD Vision	US
2013-041881		QD Vision	US
2010-896856		QD Vision	US
2007-776087	7989153	QD Vision	US
2008-317250	8618561	QD Vision	US
2013-924262		QD Vision	US
2013-849700	8759850	QD Vision	US
2010-657427	8405063	QD Vision	US
2012-682563		QD Vision	US
2013-910788		QD Vision	US
2011-206443		QD Vision	US
2010-657282		QD Vision	US
2010-662962	8067299	QuNano	SE
2007-812226	8049203	QuNano	SE
2011-227950	8455857	QuNano	SE
2011-150475	8699114	RavenBrick	US
2005-145417	7692180	RavenBrick	US
2008-038677	8363307	RavenBrick	US
2005-124244	7253119	Rensselaer Polytechnic Institute	US
2007-819381	7834468	Rensselaer Polytechnic Institute	US
2006-795171	7750359	Rensselaer Polytechnic Institute	US
2010-144152	8610103	Research Foundation Of CUNY	US
2010-499024	8729528	RTI?International	US
2004-933069	7235190	Sandia	US
2005-299299	8563133	SanDisk	US
2007-713652	7968792	Seagate	US
2011-171356		Seagate	US
2006-386212		Searete LLC	US
2006-386227		Searete LLC	US
2007-871333	7892452	Sharp	JP
2010-145650	8552417	Sharp	JP
2012-630075		Sharp	US
2009-354317	7858962	Sharp	JP
2008-073794	7700001	Sharp	JP
2010-710105	8287760	Sharp	JP
2009-995773		Sharp	JP
2008-147667		Sharp	JP
2008-189972	8334157	Sharp	JP
2008-212729		Sharp	JP
2011-094262		Sharp	JP
2013-779257		Sharp l University of Tokyo	JP
2012-982182		SHOWA DENKO	JP
2004-575625	8134168	SHOWA DENKO	JP
2007-740213	7976726	Siluria Technologies	US
2008-747627		Smart Water Research Centre	GB
2010-377931		SOITEC	FR
2012-561801		SONY	JP
2011-012674	8786053	Soraa	US
2011-135087		Soraa	US
2011-014622		Soraa	US
2009-534829	8124996	Soraa	US
2012-360535	8558265	Soraa	US
2011-016911		Spectros Corporation	US
2011-016846		Spectros Corporation	US
2004-002849	7306963	Spire Corp	US
2006-578038		SPUDNIK	
2004-796442	7371666	State University of New York	US
2004-804629	7193098	State University of New York	US
2006-406940	8029698	State University of New York	US
2006-391022	7608237	State University of New York	US
2012-430855		State University of New York	US
2006-326432	7432175	STC(University of New Mexico)	US
2004-971555	7282732	STC(University of New Mexico) | Innolume Acquisition	US
2013-931096		STMicroelectronics	US
2013-931234		STMicroelectronics	US
2004-555714	7982031	S?dzucker	DE
2013-060514		SWITCH BULB COMPANY	US
2011-239288	8591069	SWITCH BULB COMPANY	US
2007-943188	7838392	Taiwan Semiconductor Manufacturing Company	TW
2012-656852	8513644	Technion R&D Foundation	IL
2010-780404	8784685	Technion Research & Development Foundation	IL
2010-789481	8293628	Technion Research & Development Foundation	IL
2010-662661		Technische Universit?t Berlin	DE
2006-095680	8404506	Technische Universit?t Berlin	DE
2006-088590	8287951	The Director General Defence Research & Development Organisation	IN
2012-617843	8721926	The Director General Defence Research & Development Organisation	IN
2008-677296	8450127	The Governors of the University of Alberta	CA
2004-949186	8092549	The Invention Science Fund	US
2010-800130	8455981	The Invention Science Fund	US
2008-057819		THE PENN STATE RESEARCH FOUNDATION	US
2013-744526		THE PENN STATE RESEARCH FOUNDATION	US
2006-451251	8182786	The Trustees of Columbia University	US
2006-405732	7346251	The Trustees of Columbia University	US
2008-014243		The Trustees of Columbia University	US
2011-216848		Tokyo Electron	JP
2011-037006	8530881	TOSHIBA	JP
2005-076878	7825399	TOSHIBA	JP
2011-104368	8461569	TOSHIBA	JP
2010-504734		TOSHIBA	JP
2005-791445	7737046	Toyota	JP
2011-235544	8455881	Translucent	US
2010-917209	8362507	Tyco Electronics	US
2009-485784	8012860	UChicago Argonne	US
2004-892946	7358525	UltraDots	US
2004-893059	7402832	UltraDots	US
2005-156233	7442320	UltraDots	US
2004-892851	6961499	UltraDots	US
2007-789123	7618905	United States Secretary of the Air Force	US
2011-209974	8512755	United States Secretary of the navy	US
2010-962988	8222449	United States Secretary of the navy	US
2011-311673	8653550	United States Secretary of the navy	US
2013-107264	8779456	United States Secretary of the navy	US
2004-763068	7767260	University of Arkansas	US
2010-721185	7919012	University of Arkansas	US
2004-965685	7160525	University of Arkansas	US
2005-103159	7575699	University of California	US
2005-663327	7927516	University of California	US
2004-945053	7615169	University of California	US
2011-043329	8142754	University of California	US
2011-267170	8608848	University of California	US
2007-869585	8062421	University of California	US
2004-980472	7311774	University of California	US
2006-514520		University of California	US
2009-998867		University of California	US
2011-089138	8692105	University of California	US
2006-645236	7834264	University of California	US
2011-099834	8188458	University of California	US
2006-472033	7982208	University of California	US
2007-934033	7935956	University of California	US
2004-484287		University of California	US
2005-169196	7732237	University of California	US
2005-056430	8753916	University of California	US
2005-089726		University of California	US
2010-686552	7776630	University of Central Florida 	US
2008-275269	7687800	University of Central Florida 	US
2010-793400	7855091	University of Central Florida 	US
2008-328233	8142890	University of Central Florida 	US
2004-805070	6992317	University of Connecticut	US
2006-427832	7700936	University of Delaware	US
2007-943790	8491818	University of Drexel	US
2010-382340		University of Florida 	US
2012-645855	8435418	University of Florida state	US
2012-645876	8496844	University of Florida state	US
2008-201589	8357308	University of Florida State	US
2012-645888	8663491	University of Florida state	US
2012-645898	8540892	University of Florida state	US
2008-665242	8470693	University of Hiroshima	JP
2011-237449	8330141	University of Hiroshima	JP
2008-601794	8044382	University of Hiroshima	JP
2008-212406	7768032	University of Hiroshima	JP
2009-372585	8368046	University of Hiroshima	JP
2013-755846		University of Hiroshima	JP
2007-599638	8653518	University of Hiroshima	JP
2007-785102	7880026	University of Illinois	US
2012-117811		University of Illinois	US
2011-270954	8394706	University of Illinois	US
2006-421654	7799699	University of Illinois	US
2010-844492	8039847	University of Illinois	US
2004-843894	7199391	University of Illinois l University of Texas System	US
2004-805454	7227173	University of Illinois l University of Texas System	US
2004-555729	7981667	University of Indiana	US
2011-157099	8420155	University of Indiana	US
2011-105132	8343576	University of Jerusalem	IL
2006-922008	7964278	University of Jerusalem	IL
2009-546986	8263029	University of Kent State	US
2006-385015	7591897	University of Louisville	US
2005-199033	7589240	University of Massachusetts	US
2009-430703		University Of Massachusetts	US
2008-014200	7608532	University of National Central 	TW
2006-500935	7456423	University of National Central 	TW
2010-846443	8242523	University of National Tsing Hua 	TW
2006-337784	7868302	University of Nebraska	US
2013-904795		University of New Jersey	US
2009-631633	8366974	University of Northwestern	US
2005-628966		University of Ohio	US
2006-416545	7641880	University of Ohio	US
2006-920564	7985869	University of Oregon	US
2008-810443	8410470	University of Osaka	JP
2008-054948	7999248	University of Pittsburgh	US
2007-765862	8178202	University of Rice	US
2004-595817	7998271	University of Rice	US
2004-753323	7253871	University of Rochester	US
2009-417326	8759662	University of South Florida	US
2012-678393		University of Stanford 	US
2011-284385		UNIVERSITY of SYRACUSE 	US
2010-824949		University of Texas	US
2010-890797		University of Toronto	CA
2011-183243		University of Utah	US
